"No","受付日時","顧客会社名","ProjectName","発生箇所","受付概要","受付詳細","対応詳細","原因","関連インシデントNo","インシデント分類","関連課題NO","課題","非公開"
"00030","2010/7/5","日本アクセス","原材料品質保証システム","トップ画面","トップ画面に原材料の申請状況が表示されない。","トップ画面の原材料の申請状況が表示されない。「取り消されたアクション」と表示される。他の担当者のPCも同様。","","","","","","","FALSE"
"00064","2010/7/5","松美産業","原材料品質保証システム","ログイン","パスワードの設定について","原材料品質保証システムが変わったというが、パスワードの部分はどうなったのか。同じパスワードを使用し続けることは出来ないのか。","仕様説明。セキュリティのため、同じパスワードは使い続けられないことを説明。","","","","","","FALSE"
"00066","2010/7/5","日本ハム","原材料品質保証システム","ログイン","接続が重い（7/6外出中）","接続が重い",""対応中の旨を伝える7/6外出先から戻り、接続が良くなった事を確認し、返答済。"","","","","","","FALSE"
"00068","2010/7/5","アルマコーポレーション","原材料品質保証システム","メール","メールが届かない","ID:00500006701のユーザー（磯野様）だけメールが届かない。","磯野様に確認したところ、システムに関わる申請メール等は全て届くとの事（マスター上のアドレスにも問題なし）。今回届かなかったのは日本アクセスからのシステム切替に関するお知らせメールとの事。システム上で送信しているものではないので、日本アクセスに確認して頂く。","","","","","","FALSE"
"00142","2010/7/6","テーオー食品","原材料品質保証システム","調達品質情報","原材料の引当ができない","開発ベンダーより原材料引当てが出来ないと連絡があった。原材料名（生おろしにんにく１ＫＧ）359003707","メーカー側で最新バージョンが一時保存にある為、申請を進めて頂くよう説明。","","","","","","FALSE"
"00156","2010/7/6","日本アクセス","原材料品質保証システム","調達品質情報","メーカーが調達品質情報を削除してしまった","メーカーが誤って調達品質情報を削除してしまったが、データを戻す事は出来るのか。Ver00","できない。調達品質情報を再登録して頂く必要がある事を説明。","","","","","","FALSE"
"00176","2010/7/6","FM","原材料品質保証システム","食材事前情報　工場点検確認","工場点検確認画面で申請日で検索すると同じような食材が沢山出てくる","工場点検確認画面で申請日で検索すると同じような食材が沢山出てくる。また1日ずつ検索しないと件数があふれてしまう。",""開発課対応。データ移行時のミスとの事。プログラム修正対応となった。完了後、開発課山本より連絡済。"","操作","","","","","FALSE"
"00183","2010/7/7","日本食研","原材料品質保証システム","画面","ウィンドウの画面が小さいまま固定になってしまった","ウィンドウの画面が小さいまま固定になってしまった。本来の画面の半分のサイズで、IEを立ち上げなおしても変わらないとの事。","一度キャッシュを削除し、画面の最大化を試したところ直った事を確認。","","","","","","FALSE"
"00225","2010/7/7","伊藤忠プラスチックス","原材料品質保証システム","画面","画面（ウィンドウ）が小さい表示のまま固定される","画面（ウィンドウ）が小さい表示のまま固定される。画面の半分の大きさ。","IEの最大化を試して頂いた状態で、IEの初期サイズを最大化にして頂く。","","","","","","FALSE"
"00227","2010/7/7","日本食研","原材料品質保証システム","調達品質情報","登録されている調達情報のランクに誤りがある","登録されている調達情報のランクに誤りがある。ランクDになっているがこれは誤りではないか。原材料CD:349005407、349007807","自動計算の項目であるが、仕様上の計算では誤りはない。重量と容量から計算している事を説明。","仕様","","","","","FALSE"
